name,season,age,team_id,pos,g,gs,mp_per_g,fg_pct,fg3_pct,fg2_pct,efg_pct,ft_pct,orb_per_g,drb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,height,weight
Tony Allen,2015.0,34.0,MEM,SG,64.0,57.0,25.3,0.458,0.357,0.468,0.474,0.652,1.6,3.0,1.1,1.7,0.3,1.2,2.7,8.4,76,213.0
Tony Allen,2016.0,35.0,MEM,SG,71.0,66.0,27.0,0.461,0.278,0.479,0.473,0.615,2.3,3.2,1.4,1.6,0.4,1.4,2.5,9.1,76,213.0
Tony Allen,2017.0,36.0,NOP,SF,22.0,0.0,12.4,0.484,0.333,0.506,0.505,0.524,0.9,1.2,0.4,0.5,0.1,0.9,2.2,4.7,76,213.0
Morris Almond,2008.0,23.0,UTA,SG,25.0,1.0,10.2,0.407,0.294,0.438,0.438,0.808,0.4,1.1,0.3,0.2,0.2,0.6,1.2,3.7,78,225.0
Morris Almond,2011.0,26.0,WAS,SG,4.0,0.0,16.8,0.353,0.333,0.357,0.382,0.333,0.3,1.8,0.5,1.8,0.0,0.3,1.5,3.5,78,225.0
Rafer Alston,2008.0,32.0,HOU,PG,48.0,48.0,33.1,0.37,0.348,0.387,0.446,0.789,0.5,2.5,5.4,1.2,0.1,1.8,1.5,11.5,74,171.0
Rafer Alston,2008.0,32.0,ORL,PG,29.0,28.0,29.5,0.413,0.317,0.462,0.466,0.707,0.3,2.6,5.1,1.8,0.1,1.8,2.2,12.0,74,171.0
Rafer Alston,2009.0,33.0,NJN,PG,27.0,13.0,28.4,0.343,0.322,0.353,0.394,0.815,0.3,2.4,3.9,1.0,0.2,2.3,1.9,9.7,74,171.0
Rafer Alston,2009.0,33.0,MIA,PG,25.0,25.0,26.2,0.355,0.37,0.341,0.444,0.556,0.2,2.0,2.9,0.9,0.2,1.4,2.1,6.6,74,171.0
Al-Farouq Aminu,2010.0,20.0,LAC,SF,81.0,14.0,17.9,0.394,0.315,0.437,0.45,0.773,0.9,2.4,0.7,0.7,0.3,1.3,1.5,5.6,81,220.0
Al-Farouq Aminu,2011.0,21.0,NOH,SF,66.0,21.0,22.4,0.411,0.277,0.431,0.429,0.754,1.4,3.2,1.0,0.9,0.5,1.4,2.1,6.0,81,220.0
Al-Farouq Aminu,2012.0,22.0,NOH,SF,76.0,71.0,27.2,0.475,0.211,0.486,0.479,0.737,1.8,5.9,1.4,1.2,0.7,1.5,2.0,7.3,81,220.0
Al-Farouq Aminu,2013.0,23.0,NOP,SF,80.0,65.0,25.6,0.474,0.271,0.496,0.487,0.664,1.6,4.6,1.4,1.0,0.5,1.1,1.8,7.2,81,220.0
Al-Farouq Aminu,2014.0,24.0,DAL,SF,74.0,3.0,18.5,0.412,0.274,0.485,0.459,0.712,1.5,3.1,0.8,0.9,0.8,0.7,1.9,5.6,81,220.0
Al-Farouq Aminu,2015.0,25.0,POR,SF,82.0,82.0,28.5,0.416,0.361,0.468,0.503,0.737,1.2,4.9,1.7,0.9,0.6,1.5,2.1,10.2,81,220.0
Al-Farouq Aminu,2016.0,26.0,POR,PF,61.0,25.0,29.1,0.393,0.33,0.445,0.468,0.706,1.3,6.1,1.6,1.0,0.7,1.5,1.7,8.7,81,220.0
