season,lg_id,team_id,wins,losses,rank_team,avg_age,avg_ht,avg_wt,g,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,division,conference,finish
2012.0,NBA,PHI,34.0,48.0,4.0,25.2,79.0,213.0,82.0,240.9,37.3,84.1,0.444,6.3,17.5,0.36,31.0,66.5,0.466,12.2,16.8,0.729,10.9,30.4,41.3,22.8,7.4,4.7,13.0,18.4,93.2,Atlantic,E,9.0
2017.0,NBA,PHO,21.0,61.0,5.0,23.7,79.0,215.0,82.0,240.3,38.5,87.1,0.442,9.3,27.9,0.334,29.1,59.2,0.492,17.7,23.9,0.741,10.3,33.9,44.1,21.3,6.9,4.5,15.7,22.0,103.9,Pacific,W,15.0
2016.0,NBA,PHO,24.0,58.0,5.0,25.0,78.0,219.0,82.0,241.8,39.9,88.5,0.45,7.5,22.6,0.332,32.4,65.9,0.491,20.4,26.3,0.776,11.9,33.1,45.0,19.6,8.2,4.9,15.4,24.8,107.7,Pacific,W,15.0
2015.0,NBA,PHO,23.0,59.0,4.0,26.0,79.0,223.0,82.0,240.3,37.2,85.6,0.435,9.0,25.8,0.348,28.2,59.8,0.472,17.5,23.2,0.751,11.5,33.3,44.8,20.7,7.7,3.8,17.2,22.7,100.9,Pacific,W,14.0
2014.0,NBA,PHO,39.0,43.0,3.0,25.7,78.0,217.0,82.0,242.4,38.8,85.8,0.452,8.5,25.0,0.341,30.2,60.9,0.497,16.4,21.5,0.76,10.9,32.2,43.2,20.2,8.5,4.7,15.1,21.3,102.4,Pacific,W,10.0
2013.0,NBA,PHO,48.0,34.0,3.0,26.2,78.0,218.0,82.0,240.9,38.7,83.5,0.463,9.3,25.1,0.372,29.4,58.4,0.503,18.5,24.4,0.758,11.3,31.7,43.0,19.1,8.4,4.6,15.3,21.9,105.2,Pacific,W,9.0
2012.0,NBA,PHO,25.0,57.0,5.0,26.9,79.0,220.0,82.0,241.5,37.3,84.4,0.443,5.9,17.7,0.33,31.5,66.6,0.473,14.7,19.7,0.744,11.7,29.9,41.6,22.6,8.0,5.3,15.6,20.6,95.2,Pacific,W,15.0
2017.0,NBA,POR,49.0,33.0,1.0,25.6,78.0,217.0,82.0,240.9,39.3,87.0,0.452,10.3,28.1,0.366,29.0,58.8,0.493,16.7,20.9,0.8,10.2,35.3,45.5,19.5,7.0,5.2,13.5,19.5,105.6,Northwest,W,3.0
2016.0,NBA,POR,41.0,41.0,3.0,24.8,79.0,218.0,82.0,243.0,39.5,86.1,0.459,10.4,27.7,0.375,29.2,58.4,0.499,18.5,23.7,0.78,10.1,33.5,43.7,21.1,7.0,5.0,13.7,21.2,107.9,Northwest,W,8.0
2015.0,NBA,POR,44.0,38.0,2.0,24.3,79.0,218.0,82.0,241.5,38.6,85.9,0.45,10.5,28.5,0.37,28.1,57.4,0.49,17.4,23.0,0.754,11.6,33.9,45.5,21.3,6.9,4.6,14.6,21.7,105.1,Northwest,W,5.0
2014.0,NBA,POR,51.0,31.0,1.0,27.0,79.0,218.0,82.0,242.1,38.7,86.0,0.45,9.8,27.2,0.362,28.9,58.8,0.491,15.5,19.4,0.801,10.7,35.1,45.9,21.9,6.4,4.5,13.6,18.2,102.8,Northwest,W,6.0
2013.0,NBA,POR,54.0,28.0,2.0,25.8,79.0,217.0,82.0,242.1,39.1,87.0,0.45,9.4,25.3,0.372,29.7,61.7,0.481,19.1,23.5,0.815,12.5,34.0,46.4,23.2,5.5,4.7,13.7,19.2,106.7,Northwest,W,5.0
2012.0,NBA,POR,33.0,49.0,4.0,24.4,79.0,217.0,82.0,242.1,36.7,81.9,0.448,8.2,23.2,0.353,28.5,58.7,0.486,15.9,20.5,0.776,10.7,30.2,40.8,21.8,6.6,4.3,14.7,18.5,97.5,Northwest,W,11.0
2017.0,NBA,SAC,27.0,55.0,4.0,26.3,78.0,214.0,82.0,240.9,38.8,86.1,0.45,9.0,24.0,0.375,29.8,62.1,0.479,12.3,16.7,0.735,9.5,31.4,40.9,21.6,7.8,4.1,13.7,20.0,98.8,Pacific,W,12.0
2016.0,NBA,SAC,32.0,50.0,3.0,27.8,78.0,220.0,82.0,242.4,37.9,82.1,0.461,9.0,23.9,0.376,28.9,58.2,0.496,18.1,23.3,0.775,8.7,32.3,41.1,22.5,7.6,4.0,14.6,20.3,102.8,Pacific,W,12.0
2015.0,NBA,SAC,33.0,49.0,3.0,26.6,78.0,220.0,82.0,241.5,40.0,86.4,0.464,8.0,22.4,0.359,32.0,64.0,0.5,18.5,25.5,0.725,10.6,33.7,44.2,24.5,8.9,4.5,16.2,20.4,106.6,Pacific,W,11.0
2014.0,NBA,SAC,29.0,53.0,4.0,26.0,79.0,221.0,82.0,242.1,36.7,80.7,0.455,5.6,16.5,0.341,31.1,64.2,0.484,22.3,29.3,0.762,10.9,33.3,44.2,20.3,6.7,4.0,16.3,20.7,101.3,Pacific,W,13.0
2013.0,NBA,SAC,28.0,54.0,4.0,24.9,78.0,223.0,82.0,241.8,36.9,82.5,0.447,6.0,18.0,0.333,30.9,64.5,0.479,20.7,27.3,0.759,12.1,32.4,44.5,18.9,7.2,3.9,15.2,22.5,100.5,Pacific,W,13.0
2012.0,NBA,SAC,28.0,54.0,4.0,25.6,78.0,221.0,82.0,241.8,37.6,84.2,0.447,7.4,20.5,0.363,30.2,63.7,0.474,17.5,22.8,0.769,11.5,29.1,40.6,20.8,8.2,4.2,14.6,20.9,100.2,Pacific,W,13.0
2017.0,NBA,SAS,47.0,35.0,3.0,29.3,78.0,214.0,82.0,240.6,39.0,85.4,0.457,8.5,24.1,0.352,30.6,61.2,0.499,16.1,20.9,0.772,10.4,33.9,44.2,22.8,7.7,5.6,13.1,17.2,102.7,Southwest,W,8.0
2016.0,NBA,SAS,61.0,21.0,1.0,29.6,79.0,222.0,82.0,241.5,39.3,83.7,0.469,9.2,23.5,0.391,30.1,60.2,0.5,17.6,22.0,0.797,10.0,33.9,43.9,23.8,8.0,5.9,13.4,18.3,105.3,Southwest,W,2.0
2015.0,NBA,SAS,67.0,15.0,1.0,30.3,79.0,223.0,82.0,240.3,40.1,82.9,0.484,7.0,18.5,0.375,33.2,64.4,0.515,16.4,20.4,0.803,9.4,34.5,43.9,24.5,8.3,5.9,13.1,17.5,103.5,Southwest,W,2.0
2014.0,NBA,SAS,55.0,27.0,2.0,29.8,78.0,215.0,82.0,243.4,39.1,83.6,0.468,8.3,22.5,0.367,30.9,61.1,0.505,16.7,21.4,0.78,9.8,33.8,43.6,24.4,8.0,5.4,14.0,19.1,103.2,Southwest,W,5.0
2013.0,NBA,SAS,62.0,20.0,1.0,28.9,78.0,213.0,82.0,240.9,40.6,83.5,0.486,8.5,21.4,0.397,32.0,62.0,0.517,15.7,20.0,0.785,9.3,34.0,43.3,25.2,7.4,5.1,14.4,18.2,105.4,Southwest,W,1.0
2012.0,NBA,SAS,58.0,24.0,1.0,28.6,78.0,217.0,82.0,242.4,39.1,81.4,0.481,8.1,21.5,0.376,31.1,59.9,0.519,16.6,21.0,0.791,8.1,33.2,41.3,25.1,8.5,5.4,14.7,17.4,103.0,Southwest,W,2.0
2017.0,NBA,TOR,59.0,23.0,1.0,25.8,78.0,223.0,82.0,241.8,41.3,87.4,0.472,11.8,33.0,0.358,29.5,54.4,0.541,17.3,21.8,0.794,9.8,34.2,44.0,24.3,7.6,6.1,13.4,21.7,111.7,Atlantic,E,1.0
